GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,Latitude,Longitude,capacity_ttpa,n_operating_units,Plant age (years),Main production equipment
P100000120906,ArcelorMittal Kryvyi Rih steel plant,ArcelorMittal Kryvyi Rih PJSC,ArcelorMittal SA [95.1%]; small shareholder(s) [4.9%],Ukraine,Europe,47.874411,33.392993,1083.0,1,92.0,BF; BOF; Steel other/unspecified
P100000120725,ArcelorMittal Lázaro Cárdenas steel plant,ArcelorMittal México SA de CV,ArcelorMittal SA [100.0%],Mexico,North America,17.930688,-102.201498,6500.0,1,49.29,BF; BOF; DRI; EAF
P100001081899,ArcelorMittal Mauritania green steel plant,ArcelorMittal SA; Société Nationale Industrielle et Minière SA,ArcelorMittal SA [100.0%]; Government of Mauritania [78.4%]; small shareholder(s) [8.3%]; Kia Corp [7.7%]; Arab Mining Co [5.7%],Mauritania,Africa,19.513799,-10.553879,,0,,DRI; Steel other/unspecified
P100000120473,ArcelorMittal Méditerranée Fos sur Mer steel plant,ArcelorMittal Méditerranée SAS,ArcelorMittal SA [100.0%],France,Europe,43.43283,4.887166,5100.0,2,52.0,BOF; EAF; BF
P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-19.832129,-43.130164,1200.0,1,89.0,BF; BOF; EAF
P100000120057,ArcelorMittal Montreal steel plant,ArcelorMittal Long Products Canada GP,ArcelorMittal SA [100.0%],Canada,North America,45.835148,-73.254957,2400.0,1,112.0,DRI; EAF
P100000121027,ArcelorMittal Newcastle Steel Works,ArcelorMittal South Africa Ltd,ArcelorMittal South Africa Ltd [100.0%],South Africa,Africa,-27.705376,30.014063,,0,54.84,EAF; BF; BOF
P100001025671,ArcelorMittal Nippon Steel Anakapalle steel plant,ArcelorMittal Nippon Steel India Ltd,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],India,Asia Pacific,17.407103,82.723183,,0,,BF; BOF
P100001025669,ArcelorMittal Nippon Steel Gadchiroli steel plant,ArcelorMittal Nippon Steel India Ltd,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],India,Asia Pacific,20.168486,79.987119,,0,,EAF
P100000120513,ArcelorMittal Nippon Steel Hazira plant,ArcelorMittal Nippon Steel India Ltd,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],India,Asia Pacific,21.112377,72.647304,9600.0,1,31.0,BF; DRI; EAF; Iron other/unspecified; Steel other/unspecified; BOF
P100000120573,ArcelorMittal Nippon Steel Kendrapara plant,ArcelorMittal Nippon Steel India Ltd,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],India,Asia Pacific,20.71042,86.282806,,0,,BF; BOF
P100000121178,ArcelorMittal Nippon Steel Paradip plant,ArcelorMittal Nippon Steel India Ltd,ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],India,Asia Pacific,20.284771,86.658266,,0,,BF; BOF
P100000120458,ArcelorMittal Olaberria-Bergara (Olaberria) steel plant,Arcelormittal Olaberria-Bergara SL,ArcelorMittal SA; small shareholder(s),Spain,Europe,43.03829,-2.219625,1450.0,1,34.0,EAF
P100000120040,ArcelorMittal Pecém steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-3.585917,-38.858932,3046.0,1,10.0,BF; BOF
P100000120041,ArcelorMittal Piracicaba steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-22.698154,-47.657146,1100.0,1,71.0,EAF
P100000120036,ArcelorMittal Resende steel plant,ArcelorMittal Brasil SA,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],Brazil,Central & South America,-22.493597,-44.512628,1000.0,1,17.0,EAF
P100000121030,ArcelorMittal Saldanha Steel Works,ArcelorMittal South Africa Ltd,ArcelorMittal South Africa Ltd [100.0%],South Africa,Africa,-32.97952,18.023228,,0,28.0,DRI; EAF; Iron other/unspecified
P100000120453,ArcelorMittal Sestao steel plant,Arcelormittal Sestao SL,ArcelorMittal SA; small shareholder(s),Spain,Europe,43.313144,-2.998964,2000.0,1,124.0,EAF
P100000120719,ArcelorMittal Sonasid Jorf Lasfar steel plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],Morocco,Africa,33.136529,-8.603555,800.0,1,21.0,EAF
P100000120970,ArcelorMittal Texas DRI plant,ArcelorMittal SA,ArcelorMittal SA [100.0%],United States,North America,27.888929,-97.282062,0.0,1,8.39,DRI
P100000120034,ArcelorMittal Tubarão steel plant,ArcelorMittal Tubarão Comercial SA,ArcelorMittal Tubarão Comercial SA [100.0%],Brazil,Central & South America,-20.253447,-40.242298,7500.0,1,43.0,BF; BOF
P100000121028,ArcelorMittal Vanderbijlpark Steel Works,ArcelorMittal South Africa Ltd,ArcelorMittal South Africa Ltd [100.0%],South Africa,Africa,-26.657367,27.82231,3360.0,2,72.38,BF; BOF; DRI; EAF
P100000120790,ArcelorMittal Warszawa steel plant,Arcelormittal Warszawa SP zoo,ArcelorMittal SA [100.0%],Poland,Europe,52.291337,20.917302,750.0,1,69.0,EAF
P100000120607,Ardakan Steel Yazd plant,Ardakan Steel Complex Co,Jahan Profil Pars Co,Iran,Middle East,32.373942,53.759655,0.0,1,14.0,DRI; EAF
P100000120597,Arfa Iron and Steel Yazd plant,Arfa Iron and Steel Co,Chadelmu Mining and Industrial Co [43.7%]; small shareholder(s) [24.7%]; Yaran Tube Rolling Mill Co [17.0%]; Social Insurance Fund of Farmers and Villagers [3.9%]; Sadr Tamin Investment Co [1.7%]; Iranian Mines & Mining Industries Development & Renovation Organization,Iran,Middle East,32.39309,53.7566,1000.0,1,14.89,DRI; EAF
P100001063425,Arian Steel Fath Abad plant,Arian Steel Co,Arian Steel Co [100.0%],Iran,Middle East,35.744901,50.222553,240.0,1,25.0,EAF; IF
P100000120568,Arjas Steel Tadipatri plant,Arjas Steel Pvt Ltd,ADV Partners Holdings Ltd,India,Asia Pacific,14.873471,78.048425,1005.0,1,13.3,BF; BOF
P100000120841,Arkan Steel Jeddah plant,Dar Al Arkan Real Estate Development Company SJSC,Dar Al Arkan Real Estate Development Company SJSC [100.0%],Saudi Arabia,Middle East,21.524005,39.240633,,0,,EAF
P100000120590,Arvand Jahanara Steel Khouzestan plant,Arvand Jahanara Steel Co,Arvand Jahanara Steel Co [100.0%],Iran,Middle East,30.510886,48.241356,1200.0,1,4.0,EAF; DRI
P100000120604,Arvand Kaveh Steel Khoramshahr plant,Arvand Kaveh Steel Co,Arvand Kaveh Steel Co [100.0%],Iran,Middle East,30.505458,48.272024,,0,,DRI; EAF
P100001045594,ASEAN Steel Hoa Phu steel plant,Asean Steel JSC,Asean Steel JSC [100.0%],Vietnam,Asia Pacific,12.59912,107.93922,500.0,1,,Steel other/unspecified
P100000120825,Ashinskiy Metallurgical plant,Ashinskiy Metzavod PJSC,Ashinskiy Metzavod PJSC [100.0%],Russia,Eurasia,54.99484,57.277548,1000.0,1,126.0,EAF
P100001080915,Asia United Steel plant,Asia United Steel,Asia United Steel [100.0%],Kazakhstan,Eurasia,43.600662,76.317112,,0,,EAF
P100000120891,Asil Celik Orhangazi steel plant,Asil Celik Sanayi ve Ticaret AŞ,small shareholder(s) [21.7%]; Parsan Makina Parçaları Sanayi AŞ [20.1%]; Güriş Inşaat ve Muhendislik AŞ [19.5%]; Omtaş Otomotiv Transmisyon Aksamı Sanayi ve Ticaret AŞ [5.5%]; Diler Holding AŞ,Türkiye,Europe,40.42752,29.270141,730.0,1,47.0,EAF
P100000120564,Atibir Industries Bhorandiha steel plant,Atibir Industries Co Ltd,Sribir Group of Companies,India,Asia Pacific,24.145239,86.334999,0.0,1,17.0,BF; BOF
P100000120046,AVB Açailândia steel plant,Aco Verde do Brasil SA,Grupo Ferroeste,Brazil,Central & South America,-4.874373,-47.4073517,600.0,1,11.0,BF; BOF
P100000120067,AZA Colina steel plant,Aceros AZA SA,Ingenieria e Inversiones Ltda; Inversiones Los Andes SA; Inversiones Reyosan SpA; Matco Cables SpA,Chile,Central & South America,-33.294729,-70.727881,520.0,1,26.68,EAF
P100000121043,Azerbaijan Integrated Steel Mill Complex,Azerbaijan Integrated Steel Mill Complex,Baku Steel Company QSC; China CAMC Engineering Co Ltd,Azerbaijan,Eurasia,40.721908,46.363526,,0,,DRI; EAF
P100001061353,Azerbaijan Metal Company Shamkir HBI plant,Azerbaijan Metal Company LLC,Fonte GreenMet Investments Fund OEIC LLC [50.0%]; AzerGold CJSC,Azerbaijan,Eurasia,40.8217502,46.0170067,,0,,DRI
P100000120605,Azna Steel Lorestan plant,Azna Steel,Azna Steel [100.0%],Iran,Middle East,33.464353,49.391373,,0,5.97,EAF
P100000120907,Azovstal Iron and Steel Works,MK Azovstal' PrAT,Metinvest BV [100.0%],Ukraine,Europe,47.094724,37.596862,,0,,BF; BOF
P100000120606,Bafgh Mineral Complex Iron and Steel Yazd plant,Bafgh Mineral Complex Iron & Steel Co,Bafgh Mineral Complex Iron & Steel Co [100.0%],Iran,Middle East,31.699307,55.440187,1200.0,1,5.0,DRI; EAF
P100000120384,Baicheng Fuda Bar Rolling Co Ltd,Baicheng Fuda Bar Rolling Co Ltd,Baicheng Fuda Bar Rolling Co Ltd [100.0%],China,Asia Pacific,45.593303,122.895588,788.0,1,16.31,EAF
P100000120016,Baku Steel Company steel plant,Baku Steel Company QSC,Baku Steel Company QSC [100.0%],Azerbaijan,Eurasia,40.43136,49.886867,800.0,1,25.0,EAF
P100000120817,Balakovo Steel Plant,MZ Balakovo JSC,Novostal-M LLC,Russia,Eurasia,51.936009,47.81591,1250.0,1,13.0,EAF
P100001023581,Baldota Koppal steel plant,Baldota Steel and Power Ltd,Baldota Steel and Power Ltd [100.0%],India,Asia Pacific,15.332616,76.206778,,0,0.0,BF; BOF; Iron other/unspecified; Steel other/unspecified
