Owner,n_plants,total_capacity_ttpa,mean_capacity_ttpa,max_capacity_ttpa,n_countries,n_regions,mean_plant_age,mean_nearest_exposure_usd,mean_local_exposure_usd,max_local_exposure_usd,capacity_weighted_exposure_usd,countries,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,largest_plant_ttpa,rep_lat,rep_lon,rep_source
Shaanxi LONG MEN IRON&STEEL Co Ltd,1,7200.0,7200.0,7200.0,1,1,18.66,1050556946.8883605,14744904558.483444,14744904558.483444,14744904558.483444,China,35.618466,110.575788,Shaanxi Longmen Steel Co Ltd,35.618466,110.575788,7200.0,35.618466,110.575788,largest plant
Hebei Anfeng Iron & Steel Co Ltd,1,7100.0,7100.0,7100.0,1,1,24.0,301142693.52749974,17169324513.485844,17169324513.485844,17169324513.485844,China,39.65849,118.894804,Hebei Anfeng Iron and Steel Co Ltd,39.65849,118.894804,7100.0,39.65849,118.894804,largest plant
Qian'an City Jiujiang Wire Co Ltd,1,7079.0,7079.0,7079.0,1,1,24.0,1205952791.2560177,26184257508.520584,26184257508.520584,26184257508.520584,China,39.952209,118.559444,Qian an Jiujiang Wire Co Ltd,39.952209,118.559444,7079.0,39.952209,118.559444,largest plant
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1,7042.0,7042.0,7042.0,1,1,12.09,932314590.9645125,19905614083.66219,19905614083.66219,19905614083.66219,China,24.465884,102.543682,Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,24.465884,102.543682,7042.0,24.465884,102.543682,largest plant
Sansteel Minguang Co Ltd Fujian,1,6799.0,6799.0,6799.0,1,1,25.0,3154692864.404899,8440845980.47614,8440845980.47614,8440845980.47614,China,26.261108999999998,117.614709,Sansteel Minguang Co Ltd Fujian plant,26.261109,117.614709,6799.0,26.261109,117.614709,largest plant
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,1,6797.0,6797.0,6797.0,1,1,33.0,4429745806.121701,146594289861.64615,146594289861.64615,146594289861.64615,China,31.950190999999997,120.32844900000002,Jiangyin Xingcheng Special Steel Works Co Ltd,31.950191,120.328449,6797.0,31.950191,120.328449,largest plant
Tianjin Iron and Steel Group Co Ltd,1,6650.0,6650.0,6650.0,1,1,91.0,7120436820.791538,420171486451.82947,420171486451.82947,420171486451.82947,China,39.03108300000001,117.49924599999999,Tianjin Iron and Steel Group Co Ltd,39.031083,117.499246,6650.0,39.031083,117.499246,largest plant
Kobe Steel Ltd,2,6591.0,6591.0,6591.0,1,1,57.0,34081805321.518963,843773610371.6077,1432850429467.6409,254696791275.5746,Japan,34.71212694819567,135.03676217678785,Kobe Kakogawa Works steel plant,34.720268,134.826275,6591.0,34.720268,134.826275,largest plant
Jingye Iron and Steel Co Ltd,1,6400.0,6400.0,6400.0,1,1,30.0,310050323.594974,4617509693.497881,4617509693.497881,4617509693.497881,China,38.391372,114.139998,Jingye Iron and Steel Co Ltd,38.391372,114.139998,6400.0,38.391372,114.139998,largest plant
Jindal Steel Odisha Ltd,1,6300.0,6300.0,6300.0,1,1,0.47,322827125.6345241,4860049580.14285,4860049580.14285,4860049580.14285,India,20.874713,84.944082,JSOL Angul steel plant,20.874713,84.944082,6300.0,20.874713,84.944082,largest plant
Fujian Sanbao Steel Co Ltd,1,6196.0,6196.0,6196.0,1,1,27.0,1437201755.3926136,56119285310.91528,56119285310.91528,56119285310.91529,China,24.635769000000007,117.603677,Fujian Sanbao Steel Co Ltd,24.635769,117.603677,6196.0,24.635769,117.603677,largest plant
Chengyu Vanadium & Titanium Technology Co Ltd,1,6050.0,6050.0,6050.0,1,1,19.46,69319122.10205877,1434232054.946687,1434232054.946687,1434232054.946687,China,29.732143,104.504339,Chengyu Vanadium and Titanium Technology Co Ltd,29.732143,104.504339,6050.0,29.732143,104.504339,largest plant
Guangxi Guixin Steel Group Co Ltd,1,6050.0,6050.0,6050.0,1,1,33.0,90031801.82740928,476301192.8009216,476301192.8009216,476301192.8009216,China,23.978962,111.735523,Guangxi Guixin Iron and Steel Group Co Ltd,23.978962,111.735523,6050.0,23.978962,111.735523,largest plant
Lingyuan Iron & Steel Co Ltd,1,5994.0,5994.0,5994.0,1,1,31.8,1351875952.0510519,5426297115.734424,5426297115.734424,5426297115.734424,China,41.271048,119.41374,Lingyuan Iron and Steel Co Ltd,41.271048,119.41374,5994.0,41.271048,119.41374,largest plant
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,1,5900.0,5900.0,5900.0,1,1,61.0,9319315191.657978,21065171303.13643,21065171303.13643,21065171303.13643,China,26.565265000000004,101.673737,Pangang Group Panzhihua Steel Vanadium Co Ltd,26.565265,101.673737,5900.0,26.565265,101.673737,largest plant
Zenith Steel Group (Nantong) Co Ltd,1,5850.0,5850.0,5850.0,1,1,4.0,1230988127.1191046,5264441163.741128,5264441163.741128,5264441163.741128,China,32.133954,121.513173,Zenith Steel Group Nantong Co Ltd,32.133954,121.513173,5850.0,32.133954,121.513173,largest plant
Tangshan Ganglu Iron & Steel Co Ltd,1,5614.0,5614.0,5614.0,1,1,24.0,392661136.5966965,7991515748.939623,7991515748.939623,7991515748.939622,China,40.183913,118.073913,Tangshan Ganglu Iron and Steel Co Ltd,40.183913,118.073913,5614.0,40.183913,118.073913,largest plant
Laiwu Steel Yinshan Section Co Ltd,1,5600.0,5600.0,5600.0,1,1,22.15,1723461254.4344203,22364899706.994682,22364899706.994682,22364899706.994682,China,36.106143,117.82010800000002,Laiwu Iron and Steel Group Yinshan Section Steel Co Ltd,36.106143,117.820108,5600.0,36.106143,117.820108,largest plant
Hebei Puyang Iron and Steel Co Ltd,1,5567.0,5567.0,5567.0,1,1,34.0,313791587.31473416,9183725242.049364,9183725242.049364,9183725242.049364,China,36.733675000000005,113.925995,Hebei Puyang Iron and Steel Co Ltd,36.733675,113.925995,5567.0,36.733675,113.925995,largest plant
Jingye (Yingkou) Medium Plate Co Ltd,1,5500.0,5500.0,5500.0,1,1,23.67,1444886964.8755352,50661923556.03532,50661923556.03532,50661923556.03532,China,40.671136,122.395441,Jingye (Yingkou) Medium Plate Co Ltd,40.671136,122.395441,5500.0,40.671136,122.395441,largest plant
Tangshan Donghai Iron and Steel Group Co Ltd,1,5499.0,5499.0,5499.0,1,1,23.0,770999040.1643324,37003524212.31657,37003524212.31657,37003524212.31657,China,39.748373,118.624794,Tangshan Donghai Iron and Steel Group Co Ltd,39.748373,118.624794,5499.0,39.748373,118.624794,largest plant
Zhongxin Iron and Steel Group Co Ltd,1,5400.0,5400.0,5400.0,1,1,22.34,2852869883.3872247,11632354500.728123,11632354500.728123,11632354500.728123,China,34.368618,118.31555999999999,Zhongxin Iron and Steel Group Co Ltd,34.368618,118.31556,5400.0,34.368618,118.31556,largest plant
Shandong Iron & Steel Group Yongfeng Lingang Corp,1,5400.0,5400.0,5400.0,1,1,4.69,238915176.01580334,9753154820.245314,9753154820.245314,9753154820.245314,China,35.137060999999996,119.06831899999999,Shandong Iron and Steel Group Yongfeng Lingang Co Ltd,35.137061,119.068319,5400.0,35.137061,119.068319,largest plant
Jiangsu Province Binxin Steel Group Co Ltd,1,5400.0,5400.0,5400.0,1,1,18.05,3627723888.232499,8546404266.794768,8546404266.794768,8546404266.794768,China,35.09556,119.27998899999999,Jiangsu Binxin Steel Group Co Ltd,35.09556,119.279989,5400.0,35.09556,119.279989,largest plant
Jinan Iron & Steel Group Co Ltd,1,5200.0,5200.0,5200.0,1,1,4.0,2791499561.2492723,23800884801.555416,23800884801.555416,23800884801.555416,China,36.718952,114.111677,Jinan Iron and Steel Group Co Ltd,36.718952,114.111677,5200.0,36.718952,114.111677,largest plant
Fujian Great Dong Hai Industrial Group Co Ltd,1,5128.0,5128.0,5128.0,1,1,8.0,548350467.9412751,33788256338.78718,33788256338.78718,33788256338.787178,China,25.737777,119.59223900000002,Fujian Dadonghai Industrial Group Co Ltd plant,25.737777,119.592239,5128.0,25.737777,119.592239,largest plant
Wuyang Iron and Steel Co Ltd,1,5040.0,5040.0,5040.0,1,1,56.0,642394331.888709,5845812635.478317,5845812635.478317,5845812635.478317,China,33.287536,113.474328,Wuyang Iron and Steel Co Ltd,33.287536,113.474328,5040.0,33.287536,113.474328,largest plant
Henan Jiyuan Iron & Steel (Group) Co Ltd,1,5038.0,5038.0,5038.0,1,1,68.0,3421395276.0751696,17284831673.71445,17284831673.71445,17284831673.71445,China,35.08639600000001,112.553774,Henan Jiyuan Iron and Steel Group Co Ltd,35.086396,112.553774,5038.0,35.086396,112.553774,largest plant
Hebei Jinxi Iron & Steel Group Co Ltd,1,5000.0,5000.0,5000.0,1,1,40.0,251849587.08247745,7634982789.476139,7634982789.476139,7634982789.476139,China,40.209844,118.220547,Hebei Jinxi Iron and Steel Group Co Ltd,40.209844,118.220547,5000.0,40.209844,118.220547,largest plant
JSW Vijayanagar Metallics Ltd,1,5000.0,5000.0,5000.0,1,1,2.0,334841572.46645224,4521383673.340231,4521383673.340231,4521383673.340231,India,15.203176000000001,76.65912200000001,JSW Vijayanagar Metallics steel plant,15.203176,76.659122,5000.0,15.203176,76.659122,largest plant
Tangshan Songting IRON&STEEL Co Ltd,1,5000.0,5000.0,5000.0,1,1,57.0,1205952791.2560177,26468652953.4664,26468652953.4664,26468652953.4664,China,39.938866,118.576678,Tangshan Songting Iron and Steel Co Ltd,39.938866,118.576678,5000.0,39.938866,118.576678,largest plant
Hebei Xinda Iron and Steel Co Ltd,1,5000.0,5000.0,5000.0,1,1,24.0,796505445.106471,32052499729.969208,32052499729.969208,32052499729.969208,China,39.898362,118.57936400000001,Hebei Xinda Iron and Steel Group Co Ltd,39.898362,118.579364,5000.0,39.898362,118.579364,largest plant
Quzhou Yuanli METAL Products Co Ltd,1,5000.0,5000.0,5000.0,1,1,35.0,1274727897.9611301,18757567892.70513,18757567892.70513,18757567892.70513,China,28.893407000000007,118.86712500000002,Quzhou Yuanli Metal Products Co Ltd,28.893407,118.867125,5000.0,28.893407,118.867125,largest plant
Baowu Group Echeng Iron & Steel Co Ltd,1,4971.0,4971.0,4971.0,1,1,68.0,14250230836.869875,49134741626.088264,49134741626.088264,49134741626.088264,China,30.39574,114.86131300000001,Baowu Group Echeng Iron and Steel Co Ltd,30.39574,114.861313,4971.0,30.39574,114.861313,largest plant
Tianjin Iron PLANT Co Ltd,1,4870.0,4870.0,4870.0,1,1,57.0,1279452525.6709294,5117323771.138807,5117323771.138807,5117323771.138807,China,36.58967,113.745792,Tianjin Iron Plant,36.58967,113.745792,4870.0,36.58967,113.745792,largest plant
Guangxi Chiji Iron and Steel Co Ltd,1,4800.0,4800.0,4800.0,1,1,7.0,105313275.99139243,17527437342.038837,17527437342.038837,17527437342.038837,China,23.402120999999998,111.134606,Guangxi Chiji Iron and Steel Co Ltd,23.402121,111.134606,4800.0,23.402121,111.134606,largest plant
Shanxi Jinnan Iron and Steel Group Co Ltd,1,4800.0,4800.0,4800.0,1,1,12.0,162446633.34105244,11181969511.28716,11181969511.28716,11181969511.28716,China,35.678541,111.51465,Shanxi Jinnan Iron and Steel Group Co Ltd,35.678541,111.51465,4800.0,35.678541,111.51465,largest plant
Tokyo Steel Manufacturing Co Ltd,4,4786.0,1196.5,2600.0,1,1,40.9275,18429753186.74529,149765178573.4288,219232791699.09634,149183166332.31525,Japan,34.95958003621748,135.39754426104196,Tokyo Steel Tahara plant,34.702012,137.249114,2600.0,34.702012,137.249114,largest plant
Shanxi Jianlong Industrial Co Ltd,1,4750.0,4750.0,4750.0,1,1,25.91,384406160.84900844,10420441282.326838,10420441282.326838,10420441282.326838,China,35.417405,111.303919,Shanxi Jianlong Industrial Co Ltd,35.417405,111.303919,4750.0,35.417405,111.303919,largest plant
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,1,4750.0,4750.0,4750.0,1,1,17.0,438464931.03294915,104601089880.18478,104601089880.18478,104601089880.18478,China,39.468366,118.256774,Tangshan Donghua Iron and Steel Enterprise Group Co Ltd,39.468366,118.256774,4750.0,39.468366,118.256774,largest plant
JiuJiang PXSteel Co Ltd,1,4700.0,4700.0,4700.0,1,1,14.09,478146017.5263399,13143784792.108128,13143784792.108128,13143784792.108128,China,29.778431000000005,116.27527000000002,Jiujiang Pinggang Iron and Steel Co Ltd,29.778431,116.27527,4700.0,29.778431,116.27527,largest plant
Shiheng SPECIAL Steel Group Co Ltd,1,4650.0,4650.0,4650.0,1,1,25.15,1341653440.6361408,11922002893.391815,11922002893.391815,11922002893.391815,China,36.229201,116.533981,Shiheng Special Steel Group Co Ltd,36.229201,116.533981,4650.0,36.229201,116.533981,largest plant
Osaka Steel Co Ltd,1,4650.0,4650.0,4650.0,1,1,76.0,254812052510.10464,2963446320044.215,2963446320044.215,2963446320044.215,Japan,34.598220000000005,135.45439,Osaka Steel Sakai Works,34.59822,135.45439,4650.0,34.59822,135.45439,largest plant
Jincheng FUSHENG Iron & Steel Co Ltd,1,4600.0,4600.0,4600.0,1,1,23.2,981005265.3164757,30493439287.24221,30493439287.24221,30493439287.24221,China,35.662985,112.882395,Jincheng Fusheng Iron and Steel Co Ltd,35.662985,112.882395,4600.0,35.662985,112.882395,largest plant
Tonghua Iron & Steel Co Ltd,1,4590.0,4590.0,4590.0,1,1,19.53,601217158.3271072,6291983075.240689,6291983075.240689,6291983075.240689,China,41.779125,126.022349,Tonghua Iron and Steel Co Ltd,41.779125,126.022349,4590.0,41.779125,126.022349,largest plant
Rockcheck Steel Group Co Ltd,1,4500.0,4500.0,4500.0,1,1,23.08,8170303829.634859,422293657920.1426,422293657920.1426,422293657920.1426,China,38.97063800000001,117.495794,Tianjin Rockcheck Steel Group Co Ltd,38.970638,117.495794,4500.0,38.970638,117.495794,largest plant
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,1,4500.0,4500.0,4500.0,1,1,24.0,438464931.03294915,126068925193.7959,126068925193.7959,126068925193.79588,China,39.497472,118.272056,Tangshan Ruifeng Iron and Steel Group Co Ltd,39.497472,118.272056,4500.0,39.497472,118.272056,largest plant
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,1,4500.0,4500.0,4500.0,1,1,16.66,10311114379.091043,77802195078.26004,77802195078.26004,77802195078.26004,China,39.300258,117.800231,Tianjin New Tiangang United Special Steel Co Ltd,39.300258,117.800231,4500.0,39.300258,117.800231,largest plant
Hanshan Iron and Steel Co Ltd,1,4488.0,4488.0,4488.0,1,1,4.0,296202759.7826058,6090170495.254465,6090170495.254465,6090170495.254465,China,36.68588100000001,113.837073,Handan Steel Group Handan Bao Steel Co Ltd,36.685881,113.837073,4488.0,36.685881,113.837073,largest plant
Chengde Jianlong SPECIAL Steel Co Ltd,1,4400.0,4400.0,4400.0,1,1,25.0,277866579.7444777,960037253.5921401,960037253.5921401,960037253.5921401,China,40.515035,117.596071,Chengde Jianlong Special Steel Co Ltd,40.515035,117.596071,4400.0,40.515035,117.596071,largest plant
Jianlong Xilin Iron and Steel Co Ltd,1,4200.0,4200.0,4200.0,1,1,60.0,10642384.938641924,64650969.46595778,64650969.46595778,64650969.46595778,China,47.495036,129.287919,Jianlong Xilin Iron and Steel Co Ltd,47.495036,129.287919,4200.0,47.495036,129.287919,largest plant
Tangshan Heavy Plate Co Ltd,1,4200.0,4200.0,4200.0,1,1,20.0,658638310.9064554,5574342695.914176,5574342695.914176,5574342695.914176,China,39.268452,119.024819,Tangshan Medium Thick Plate Co Ltd,39.268452,119.024819,4200.0,39.268452,119.024819,largest plant
Qingdao Special Iron and Steel Co Ltd,1,4170.0,4170.0,4170.0,1,1,13.0,431849713.01466113,3766118251.1097937,3766118251.1097937,3766118251.1097937,China,35.62960000000001,119.722335,Qingdao Special Iron and Steel Co Ltd,35.6296,119.722335,4170.0,35.6296,119.722335,largest plant
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,1,4125.0,4125.0,4125.0,1,1,24.0,1597397963.2435653,141866314043.75967,141866314043.75967,141866314043.75967,China,39.600956000000004,118.35872600000002,Tangshan Fengnan District Jing an Iron and Steel Co Ltd,39.600956,118.358726,4125.0,39.600956,118.358726,largest plant
