GEM plant ID,Plant name (English),Owner,Parent (English),Country/area,Region,iso3,Latitude,Longitude,Plant age (years),capacity_ttpa,n_operating_units,Main production equipment,litpop_value_usd,litpop_sum_25km_usd,litpop_ncells_25km,litpop_cell_lat,litpop_cell_lon,match_distance_km
P100000120105,Chengde Iron and Steel Group Co Ltd,Chengde Street Ltd,HBIS Group Co Ltd [100.0%],China,Asia Pacific,CHN,40.947707,117.719747,72.0,8000.0,1,BF; BOF,896245650.7992102,16077296505.116661,31,40.95833333,117.70833333,1.5214874247715435
P100000120123,Chengde Jianlong Special Steel Co Ltd,Chengde Jianlong SPECIAL Steel Co Ltd,Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],China,Asia Pacific,CHN,40.515035,117.596071,25.0,4400.0,1,BF; BOF,277866579.7444777,960037253.5921401,31,40.54166667,117.625,3.840239713177302
P100000120154,Chengde Shengfeng Iron and Steel Co Ltd,Chengde Shengfeng Iron & Steel Co Ltd,Chengde Shengfeng Iron & Steel Co Ltd [100.0%],China,Asia Pacific,CHN,40.622466,118.490845,17.0,,0,BF; BOF,714450516.0938448,1818916926.0753732,28,40.625,118.45833333,2.758324946330878
P100000120153,Chengde Zhaofeng Steel Group Co Ltd,Chengde Zhaofeng Steel Group Co Ltd,Chengde Zhaofeng Steel Group Co Ltd [100.0%],China,Asia Pacific,CHN,40.593875,118.633334,19.0,,0,BF; BOF,25938154.368309747,1836970558.2158616,29,40.625,118.625,3.5317261637917676
P100000120329,Chengdu Changfeng Iron and Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd,Chengdu Changfeng Steel Group Co Ltd [100.0%],China,Asia Pacific,CHN,31.031921,103.672956,56.0,1500.0,1,EAF,846260426.3465284,20216826188.210163,26,31.04166667,103.70833333,3.5405302490401276
P100000120279,Chengyu Vanadium and Titanium Technology Co Ltd,Chengyu Vanadium & Titanium Technology Co Ltd,Grand Royal Co Ltd [45.2%]; Sichuan Jintong Investment Co Ltd [14.0%]; unknown [11.7%]; Sichuan Chuanwei Group Co Ltd Labor Union [9.5%]; Sichuan Chuanwei Group Co Ltd [8.6%]; Sichuan Yiweili Investment Co Ltd [6.0%]; Weiyuan Tianyue Enterprise Management Co Ltd [5.0%],China,Asia Pacific,CHN,29.732143,104.504339,19.46,6050.0,2,BF; BOF; EAF,69319122.10205877,1434232054.946687,26,29.70833333,104.54166667,4.472464339530387
P100000120183,Chifeng Yuanlian Steel Co Ltd,Chifeng Yuanlian Steel Co Ltd,Tangshan Jiaqi International Trade Co Ltd [90.0%]; Chifeng Yuanjian Iron and Steel Industry Co Ltd [10.0%],China,Asia Pacific,CHN,42.278115,119.015289,23.53,2450.0,1,BF; BOF,1995635766.3421109,37540157912.30756,29,42.29166667,119.04166667,2.6418148302251114
P100000120327,Chifeng Zhongtang Special Steel Co Ltd,Chifeng Zhongtang Special Steel Co Ltd,Tangshan Jinma Iron & Steel Group Co Ltd [83.7%]; Hainan Mingbo Investment Co Ltd [16.0%]; unknown [0.3%],China,Asia Pacific,CHN,41.834064,119.281883,4.0,2700.0,1,BF; BOF,14520160.651008502,2567485426.0806546,32,41.875,119.29166667,4.623443509337917
P100000121041,Chizhou Guichi Guihang Metal Products Co Ltd,Chizhou Guichi Guihang Metal Products Co Ltd,Chizhou Guichi Guihang Metal Products Co Ltd [100.0%],China,Asia Pacific,CHN,30.532786,117.25166,26.0,1000.0,1,EAF,189683194.67400867,33326954857.278305,26,30.54166667,117.29166667,3.9567333247548966
P100000120286,Chongli Steel Manufacturing Co Ltd,Chongli Steel Manufacturing Co Ltd,British Asia Pan Ruogen International Co Ltd [59.2%]; unknown [40.8%],China,Asia Pacific,CHN,36.602468,113.755744,14.0,,0,BF; BOF,475205331.7791578,5172621413.115469,28,36.625,113.79166667,4.069045352546215
P100000120074,Chongqing Iron and Steel Co Ltd,Chongqing Iron & Steel Co Ltd,Chongqing Iron & Steel Co Ltd [100.0%],China,Asia Pacific,CHN,29.790253,107.040368,29.0,8400.0,1,BF; BOF,3087923383.6047015,10693419120.529099,27,29.79166667,107.04166667,0.20103530194577363
P100001064274,Chongqing Pengcheng Steel Co Ltd,Chongqing Pengcheng Steel Co Ltd,Chongqing Pengcheng Steel Co Ltd [100.0%],China,Asia Pacific,CHN,29.259699,106.214031,27.67,520.0,1,EAF,3649329774.430953,22610249865.66703,26,29.29166667,106.20833333,3.5973495219671663
P100000120409,Chongqing Yonghang Steel Group Co Ltd,Chongqing Yonghang Steel Group Co Ltd,Chongqing Yonghang Steel Group Co Ltd [100.0%],China,Asia Pacific,CHN,29.836163,106.988138,23.0,700.0,1,EAF,476620864.0503676,9985471651.860994,26,29.875,106.95833333,5.187566365915013
P100001064279,Chongqing Yuxi Iron & Steel (Group) Co Ltd,Chongqing Yuxi Iron & Steel (Group) Co Ltd,Chongqing Yuxi Iron & Steel (Group) Co Ltd [100.0%],China,Asia Pacific,CHN,29.488759,105.862658,25.97,260.0,1,BF; EAF,157576554.0679347,16288009217.619118,26,29.45833333,105.875,3.5879513448031024
P100000120317,Chongqing Zuhang Iron and Steel Co Ltd,Chongqing Zuhang Steel Co Ltd,Chongqing Zuhang Steel Co Ltd [100.0%],China,Asia Pacific,CHN,29.440056,105.741929,18.0,1010.0,1,EAF,419108487.0652244,17484785855.890198,26,29.45833333,105.70833333,3.835676615275836
P100000120683,Chubu Steel Plate Nagoya plant,Chubu Steel Plate Co Ltd,Chubu Steel Plate Co Ltd [100.0%],Japan,Asia Pacific,JPN,35.118836,136.867567,67.0,800.0,1,EAF,176716694372.9768,1773436100976.1323,27,35.125,136.875,0.9627034787722601
